add(sub(a, b), sub(c, b))	add(sub(add(b, b), add(b, a)), sub(add(a, a), add(c, b)))	add(sub(add(c, c), add(b, c)), sub(protectedDiv(b, a), add(c, c)))	sub(add(sub(b, a), protectedDiv(a, b)), sub(protectedDiv(b, c), protectedDiv(c, a)))	add(add(sub(a, a), add(a, c)), sub(add(a, b), add(a, a)))	protectedDiv(a, b)	protectedDiv(sub(c, a), protectedDiv(a, b))	protectedDiv(protectedDiv(sub(a, c), sub(a, b)), protectedDiv(add(b, c), protectedDiv(a, b)))	protectedDiv(b, c)	sub(protectedDiv(a, b), add(b, b))	sub(c, b)	sub(b, b)	protectedDiv(sub(protectedDiv(a, b), add(c, c)), add(add(b, a), sub(c, c)))	sub(sub(b, b), sub(b, c))	sub(add(a, a), add(a, c))	sub(a, b)	sub(sub(sub(c, a), protectedDiv(b, b)), add(sub(c, a), protectedDiv(a, b)))	add(c, b)	protectedDiv(sub(add(c, b), sub(c, c)), protectedDiv(add(b, a), protectedDiv(b, b)))	protectedDiv(add(add(a, b), protectedDiv(a, c)), protectedDiv(add(a, c), protectedDiv(c, b)))
a	a	a	add(b, a)	a	a	a	a	protectedDiv(a, b)	a	a	a	sub(protectedDiv(a, b), sub(a, b))	a	protectedDiv(b, a)	a	a	a	a	a
protectedDiv(sub(a, c), add(c, b))	a	a	a	a	a	a	a	a	a	a	a	add(protectedDiv(a, c), add(c, c))	a	a	a	protectedDiv(protectedDiv(a, c), sub(c, b))	a	a	a
sub(sub(a, a), sub(c, b))	a	a	a	a	a	a	a	b	a	a	a	a	a	a	a	a	a	a	add(add(b, b), sub(a, c))
a	a	a	a	a	a	a	a	a	a	a	a	a	a	sub(a, c)	a	a	a	a	a
b	sub(c, b)	a	a	a	a	b	a	a	a	a	a	a	a	add(add(b, a), add(c, c))	a	a	a	a	a
a	a	a	a	b	sub(add(a, a), add(c, a))	a	sub(c, a)	a	a	sub(protectedDiv(a, c), sub(a, b))	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	sub(add(a, a), add(c, a))	add(c, b)	a	add(protectedDiv(c, c), add(c, c))	protectedDiv(a, a)	sub(add(a, a), add(c, a))
c	a	a	a	sub(add(a, a), add(c, a))	a	a	a	a	a	a	a	a	sub(sub(b, b), sub(b, c))	a	a	a	a	protectedDiv(sub(a, a), sub(a, c))	a
a	sub(add(a, a), add(c, a))	b	sub(add(a, a), sub(add(a, c), sub(b, c)))	a	sub(add(a, a), add(c, a))	a	a	sub(c, c)	a	sub(add(a, a), add(c, a))	a	a	a	a	sub(add(a, a), add(c, a))	a	a	a	a
a	a	protectedDiv(sub(a, c), add(c, c))	a	sub(add(a, a), add(c, a))	sub(add(a, a), sub(add(a, c), sub(b, c)))	a	a	a	c	a	sub(add(a, a), add(c, a))	c	sub(add(a, a), add(c, a))	b	a	sub(add(a, a), add(c, a))	a	sub(add(a, a), add(c, a))	a
a	c	a	a	protectedDiv(add(a, b), sub(b, c))	sub(add(a, a), add(c, a))	a	a	a	protectedDiv(sub(a, c), add(c, c))	a	add(sub(c, a), sub(c, c))	c	a	sub(add(a, a), add(c, a))	a	a	sub(add(a, a), sub(add(a, c), sub(b, c)))	a	a
a	sub(add(a, a), add(c, a))	a	sub(add(a, a), add(c, a))	sub(protectedDiv(b, c), add(a, c))	a	sub(sub(b, c), protectedDiv(c, b))	add(b, c)	add(b, a)	a	protectedDiv(b, b)	protectedDiv(sub(a, b), protectedDiv(b, b))	a	a	a	a	sub(add(a, a), add(c, a))	a	a	c
add(c, c)	a	add(add(a, c), add(c, b))	a	sub(add(a, b), protectedDiv(c, c))	add(a, c)	sub(add(a, a), add(c, a))	c	a	a	a	a	a	a	sub(add(a, a), add(c, b))	protectedDiv(b, a)	a	a	a	sub(add(b, a), add(c, a))
a	a	a	a	a	a	a	a	sub(add(a, a), add(c, a))	a	a	sub(add(a, a), c)	a	a	sub(add(a, a), sub(a, c))	a	a	sub(add(a, a), add(c, a))	sub(add(a, a), add(c, protectedDiv(b, b)))	b
protectedDiv(sub(c, a), sub(c, a))	a	a	a	a	a	a	a	a	a	sub(add(a, a), add(c, a))	a	c	a	b	a	a	a	a	a
a	add(protectedDiv(b, a), sub(b, b))	a	sub(add(a, a), add(c, a))	sub(add(a, a), add(c, a))	sub(c, c)	a	a	a	a	a	a	a	sub(add(a, a), add(c, a))	a	a	c	a	a	a
add(c, b)	protectedDiv(a, c)	a	a	a	sub(add(c, b), sub(b, c))	a	protectedDiv(a, c)	a	a	a	a	add(sub(c, b), add(b, c))	a	a	a	a	protectedDiv(add(a, b), sub(a, a))	a	a
c	a	a	sub(add(b, b), sub(b, c))	a	protectedDiv(add(a, b), sub(a, a))	a	a	sub(add(c, b), sub(b, c))	protectedDiv(a, c)	a	protectedDiv(add(a, b), sub(a, add(add(b, c), protectedDiv(c, b))))	protectedDiv(a, c)	protectedDiv(a, add(protectedDiv(b, a), add(c, b)))	a	a	a	sub(add(c, b), sub(b, c))	protectedDiv(a, c)	protectedDiv(a, c)
protectedDiv(a, c)	sub(add(c, b), sub(b, c))	a	a	a	protectedDiv(a, c)	a	a	protectedDiv(a, c)	protectedDiv(a, c)	sub(c, a)	protectedDiv(a, c)	add(sub(a, b), protectedDiv(b, b))	a	protectedDiv(a, c)	c	a	a	protectedDiv(add(a, b), protectedDiv(sub(b, c), add(c, c)))	a
a	a	protectedDiv(b, b)	a	a	protectedDiv(b, c)	a	a	protectedDiv(a, c)	protectedDiv(a, a)	a	protectedDiv(a, c)	add(b, a)	protectedDiv(protectedDiv(c, b), sub(b, a))	protectedDiv(a, c)	a	protectedDiv(a, a)	protectedDiv(c, sub(b, c))	a	a
a	a	a	a	a	protectedDiv(protectedDiv(c, b), sub(b, a))	a	a	protectedDiv(a, c)	c	a	protectedDiv(a, c)	protectedDiv(a, c)	add(sub(c, b), sub(b, c))	a	protectedDiv(a, c)	sub(b, b)	protectedDiv(a, c)	add(b, c)	a
protectedDiv(a, c)	protectedDiv(a, c)	add(c, a)	a	a	a	sub(protectedDiv(c, a), sub(a, c))	a	a	a	add(c, c)	sub(protectedDiv(c, b), add(b, b))	a	a	a	a	protectedDiv(sub(c, c), protectedDiv(b, c))	a	a	sub(protectedDiv(c, a), protectedDiv(c, c))
add(c, c)	a	a	a	add(sub(a, b), protectedDiv(c, a))	a	add(sub(b, b), protectedDiv(c, a))	protectedDiv(c, c)	a	a	sub(protectedDiv(a, b), add(c, a))	protectedDiv(a, b)	a	a	a	protectedDiv(c, c)	a	a	a	a
protectedDiv(protectedDiv(c, c), add(b, b))	a	a	add(protectedDiv(c, c), protectedDiv(a, a))	a	a	a	a	a	a	sub(protectedDiv(a, b), add(c, a))	sub(protectedDiv(a, b), add(c, a))	a	a	a	a	protectedDiv(a, b)	a	a	protectedDiv(protectedDiv(c, a), add(c, c))
a	a	a	a	add(sub(c, c), add(c, a))	a	a	a	a	a	a	a	a	a	a	a	c	add(sub(b, b), protectedDiv(a, b))	b	a
a	a	add(b, b)	b	a	add(sub(c, c), add(c, a))	a	a	a	a	a	a	protectedDiv(c, c)	a	a	a	a	a	a	a
a	a	a	a	a	protectedDiv(add(a, a), add(a, a))	a	a	a	a	a	add(sub(b, a), sub(b, b))	a	a	a	a	a	sub(c, a)	a	a
a	a	a	sub(b, b)	a	a	a	a	a	a	a	add(add(b, c), add(a, b))	a	a	a	a	a	a	a	a
a	protectedDiv(sub(a, c), add(b, c))	a	a	protectedDiv(a, c)	a	a	add(c, b)	a	c	a	a	a	a	a	add(sub(b, a), sub(b, b))	c	a	a	add(c, a)
a	a	add(c, a)	c	a	c	protectedDiv(protectedDiv(protectedDiv(a, b), protectedDiv(c, b)), c)	a	a	a	a	a	a	a	a	a	a	a	a	a
a	add(add(b, c), add(a, a))	a	a	a	a	a	a	a	a	a	a	sub(c, a)	a	a	a	a	a	sub(c, b)	protectedDiv(protectedDiv(b, c), protectedDiv(c, a))
add(add(b, c), add(a, a))	add(sub(c, b), add(b, c))	a	a	add(add(b, c), add(a, a))	add(protectedDiv(c, c), add(a, a))	sub(protectedDiv(a, a), add(b, a))	sub(protectedDiv(a, c), protectedDiv(c, b))	a	add(add(b, c), add(a, a))	a	a	a	a	add(add(b, c), add(a, a))	a	a	a	a	a
add(add(b, c), add(a, a))	protectedDiv(b, a)	add(add(b, c), add(a, a))	sub(protectedDiv(a, c), protectedDiv(c, b))	add(add(b, c), add(a, a))	a	add(add(b, c), add(a, a))	a	a	a	a	add(add(b, c), add(a, a))	a	a	a	a	sub(sub(b, a), sub(b, c))	add(add(c, c), add(a, a))	a	a
add(add(b, c), add(a, a))	a	add(add(a, a), protectedDiv(b, b))	sub(protectedDiv(a, c), protectedDiv(c, protectedDiv(add(b, b), add(c, b))))	add(add(b, c), add(a, a))	a	add(add(c, c), b)	add(add(add(a, a), c), add(a, a))	add(add(b, c), add(a, a))	add(add(b, c), sub(b, b))	add(add(b, c), add(a, a))	add(add(b, c), add(a, a))	b	add(add(c, c), add(a, a))	a	add(add(b, c), add(a, a))	add(add(b, b), sub(a, a))	add(add(b, c), add(a, a))	a	add(add(b, c), add(a, a))
add(add(b, c), add(a, a))	a	a	sub(protectedDiv(a, b), add(b, b))	add(c, add(a, sub(add(c, a), protectedDiv(b, c))))	add(add(b, add(c, add(sub(c, a), sub(a, c)))), add(a, a))	a	add(c, c)	a	sub(add(b, c), add(c, b))	a	add(add(b, c), add(a, a))	add(add(b, c), add(a, a))	add(add(b, c), add(a, a))	add(add(b, c), add(a, a))	a	sub(protectedDiv(a, c), protectedDiv(c, protectedDiv(add(b, b), add(c, b))))	add(add(b, c), add(a, a))	add(add(b, c), add(a, a))	b
a	a	add(add(b, c), add(a, a))	a	a	add(add(b, c), add(a, a))	a	a	sub(add(b, c), add(c, b))	add(add(b, c), add(a, a))	a	a	a	sub(protectedDiv(a, b), add(b, b))	add(add(b, c), add(a, a))	a	a	add(add(b, c), add(a, a))	a	a
a	add(add(b, c), add(a, a))	sub(protectedDiv(a, b), add(b, b))	a	a	a	add(add(b, c), b)	a	a	add(add(b, c), add(a, a))	a	a	sub(c, b)	add(add(b, c), add(a, a))	a	add(add(b, c), add(a, a))	a	a	protectedDiv(protectedDiv(a, b), add(c, c))	a
add(add(b, c), add(a, a))	sub(protectedDiv(a, b), add(b, b))	sub(c, b)	a	a	add(add(b, c), add(a, a))	a	add(add(b, c), add(a, a))	a	add(add(b, c), add(a, a))	add(add(b, c), add(a, a))	add(add(a, b), add(a, b))	add(add(b, c), add(a, a))	a	add(add(b, c), add(a, a))	a	a	add(add(b, c), add(a, a))	add(c, add(a, a))	add(add(b, add(b, c)), add(a, a))
a	a	add(add(b, c), add(a, a))	add(add(b, c), add(a, a))	add(add(b, a), add(a, a))	add(add(b, c), add(a, c))	add(add(b, c), add(a, a))	add(add(b, c), add(a, a))	a	protectedDiv(b, b)	a	sub(b, b)	add(sub(sub(c, c), add(a, b)), add(a, a))	a	add(add(b, c), add(a, a))	a	a	a	add(add(b, c), sub(c, a))	a
a	a	a	a	c	protectedDiv(a, a)	a	add(add(b, c), add(a, a))	protectedDiv(protectedDiv(c, c), protectedDiv(b, b))	a	a	add(a, a)	a	a	a	add(add(b, c), add(a, sub(sub(b, c), protectedDiv(a, b))))	add(add(b, c), add(a, a))	add(add(b, c), add(a, a))	a	a
protectedDiv(b, a)	a	protectedDiv(protectedDiv(c, c), add(a, c))	a	a	add(add(b, c), add(a, a))	a	a	a	protectedDiv(b, b)	a	a	c	a	a	add(add(b, c), add(a, a))	a	a	a	add(add(b, c), add(a, a))
sub(add(c, b), add(a, b))	a	a	a	a	add(add(b, c), add(a, a))	a	a	a	a	add(c, a)	a	a	a	a	a	a	a	a	a
a	a	a	a	add(add(c, b), add(c, a))	a	a	a	a	add(add(b, c), add(a, a))	protectedDiv(c, b)	a	a	a	add(add(b, c), add(a, a))	a	add(add(b, c), add(a, a))	a	a	a
add(add(b, c), add(a, a))	a	sub(a, b)	a	add(add(b, c), add(a, a))	a	add(b, b)	a	a	a	a	a	a	add(add(b, c), add(a, a))	a	a	protectedDiv(sub(b, b), sub(b, a))	sub(b, c)	add(add(b, c), add(a, a))	protectedDiv(sub(a, a), sub(a, c))
a	a	a	protectedDiv(sub(a, a), sub(a, c))	add(add(b, c), c)	a	add(add(b, c), add(a, a))	a	a	a	a	add(add(b, c), add(a, a))	a	a	a	a	add(add(b, c), add(a, a))	a	a	b
a	a	a	a	protectedDiv(protectedDiv(b, c), protectedDiv(c, b))	a	a	a	a	a	a	a	protectedDiv(add(a, a), sub(c, c))	add(add(b, c), c)	a	a	a	a	add(b, b)	a
a	protectedDiv(c, c)	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	add(b, c)	a	a
a	a	a	a	a	a	protectedDiv(protectedDiv(c, c), sub(a, b))	add(protectedDiv(a, c), add(a, b))	add(c, c)	a	a	a	a	a	a	a	protectedDiv(protectedDiv(a, b), protectedDiv(a, c))	a	a	a
c	add(sub(c, a), sub(b, c))	a	a	a	sub(add(a, b), protectedDiv(b, a))	a	b	a	a	b	add(c, c)	a	a	a	add(c, c)	a	add(b, a)	a	sub(a, a)
a	a	a	b	a	a	a	a	a	a	b	a	a	a	a	b	a	a	a	a
sub(c, a)	a	a	a	a	a	a	a	a	a	a	b	c	a	a	a	a	sub(protectedDiv(c, c), protectedDiv(a, b))	a	a
a	a	a	protectedDiv(add(b, c), protectedDiv(b, a))	a	a	add(add(b, c), add(c, a))	sub(protectedDiv(c, a), sub(c, a))	a	a	a	a	a	a	a	protectedDiv(c, c)	a	a	sub(add(a, b), sub(b, a))	a
protectedDiv(c, a)	a	a	a	a	a	a	sub(b, c)	a	protectedDiv(b, b)	a	a	a	a	a	a	a	add(sub(a, b), sub(c, b))	a	a
a	a	a	a	a	a	add(b, c)	a	a	b	a	a	a	a	a	a	a	a	a	a
a	sub(b, b)	a	a	a	a	a	a	add(add(a, c), protectedDiv(a, b))	a	add(c, c)	a	a	a	a	a	a	protectedDiv(a, c)	a	a
a	a	a	a	a	a	a	protectedDiv(add(b, a), protectedDiv(a, c))	a	a	a	a	a	protectedDiv(a, a)	a	a	a	a	a	a
b	a	b	a	a	a	add(add(c, a), add(b, c))	a	a	add(c, a)	c	a	c	a	protectedDiv(a, b)	a	a	a	a	a
a	a	a	b	a	a	a	a	a	a	a	a	protectedDiv(a, b)	a	a	a	protectedDiv(c, c)	c	protectedDiv(a, a)	a
a	protectedDiv(protectedDiv(c, c), protectedDiv(c, a))	a	a	c	a	sub(protectedDiv(c, b), protectedDiv(c, a))	a	add(b, b)	a	a	sub(a, a)	protectedDiv(a, a)	sub(c, b)	a	a	a	a	sub(add(c, a), sub(a, a))	a
a	a	a	a	a	a	a	a	a	a	a	a	b	c	a	a	protectedDiv(sub(a, a), add(a, b))	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	sub(protectedDiv(c, c), add(c, c))	a	a	a	sub(add(c, c), add(b, b))	a	a	a	a	add(c, a)	a	a	a	a	a	a	a
a	c	a	a	add(sub(b, c), add(a, a))	a	a	a	a	a	a	a	c	protectedDiv(b, c)	a	a	c	a	a	a
a	add(b, b)	a	a	a	b	a	sub(a, a)	a	sub(c, a)	a	a	a	a	sub(add(a, c), add(c, a))	a	a	a	a	a
a	a	sub(add(b, c), protectedDiv(c, b))	a	protectedDiv(add(c, b), protectedDiv(a, a))	a	a	a	a	c	a	a	a	c	sub(c, a)	a	a	a	a	a
a	sub(protectedDiv(a, a), sub(c, a))	a	a	a	a	a	a	a	a	a	a	add(b, a)	c	c	a	a	a	protectedDiv(sub(b, c), add(b, a))	a
a	a	a	a	a	a	a	add(sub(b, b), sub(b, c))	add(sub(b, c), protectedDiv(c, c))	a	a	a	b	a	protectedDiv(a, b)	a	a	sub(a, b)	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(a, a)	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	b	a	a	add(protectedDiv(c, c), add(b, a))	a	a	a	a	a
a	a	sub(b, a)	a	protectedDiv(sub(b, b), sub(c, b))	a	a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(sub(a, a), add(c, b))
a	a	a	a	protectedDiv(sub(c, a), add(b, c))	a	b	a	a	a	a	a	a	sub(add(a, b), sub(b, c))	a	a	a	a	a	b
a	a	a	a	a	add(sub(a, a), add(a, c))	a	a	a	a	sub(a, c)	add(add(a, c), protectedDiv(a, c))	a	a	a	a	a	a	a	a
c	a	a	a	protectedDiv(a, c)	a	a	b	a	a	a	a	a	a	b	a	add(sub(b, b), protectedDiv(a, c))	a	protectedDiv(add(b, a), add(b, a))	c
a	a	a	a	a	a	a	a	a	a	sub(b, b)	a	a	a	a	sub(c, b)	a	add(protectedDiv(c, c), add(c, a))	a	a
a	a	a	add(add(b, a), protectedDiv(b, c))	a	add(sub(a, c), protectedDiv(b, c))	a	a	a	protectedDiv(add(c, b), sub(c, a))	a	a	a	add(protectedDiv(b, a), protectedDiv(a, a))	a	a	sub(add(b, c), add(b, a))	a	a	add(b, a)
a	a	a	a	a	add(add(a, b), protectedDiv(b, b))	a	add(a, b)	a	a	a	a	a	sub(protectedDiv(c, a), protectedDiv(b, b))	a	a	sub(add(a, b), sub(b, b))	a	a	sub(a, c)
a	add(b, a)	a	a	add(sub(c, a), add(a, a))	a	a	a	a	a	a	a	a	a	a	a	a	a	c	a
protectedDiv(a, c)	a	protectedDiv(sub(b, a), protectedDiv(a, c))	add(sub(b, c), add(b, c))	a	a	sub(b, c)	a	a	a	a	a	a	a	a	a	a	a	a	a
a	sub(protectedDiv(a, a), add(c, c))	a	a	a	sub(b, a)	protectedDiv(b, c)	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	protectedDiv(c, c)	add(add(c, a), protectedDiv(c, b))	a	a	a	a	a	add(protectedDiv(b, c), add(a, a))	a	a	add(sub(a, b), sub(a, a))
a	a	a	a	add(c, b)	a	a	a	a	a	a	a	a	a	a	add(a, c)	b	a	a	c
a	a	a	a	a	a	a	c	a	a	a	a	a	a	a	add(a, b)	a	a	a	a
a	a	a	a	a	a	a	a	a	b	a	a	a	a	a	a	add(b, a)	a	c	a
sub(add(a, c), add(a, c))	a	a	a	a	a	sub(b, c)	a	a	a	a	a	a	a	add(b, b)	a	a	protectedDiv(protectedDiv(b, b), sub(c, b))	a	a
a	a	a	add(add(b, a), add(c, b))	a	a	a	a	a	a	a	a	a	a	a	sub(add(c, a), protectedDiv(a, b))	a	a	sub(protectedDiv(c, c), sub(c, b))	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	protectedDiv(sub(a, a), add(a, b))	a	a	a	protectedDiv(a, a)	a	a	a	sub(c, c)	a	a	a	a	a	a	a
a	a	a	a	a	b	sub(a, a)	a	a	a	a	a	a	b	a	a	a	a	a	a
a	protectedDiv(b, c)	add(add(a, c), sub(c, c))	a	b	a	a	a	a	a	a	a	a	a	a	protectedDiv(b, c)	a	a	a	b
a	a	protectedDiv(protectedDiv(a, c), sub(c, c))	a	a	a	a	a	a	add(add(a, b), sub(b, b))	b	a	a	a	a	a	a	protectedDiv(sub(b, b), sub(b, b))	add(add(a, c), sub(c, c))	a
a	a	add(b, c)	a	a	a	a	a	a	a	sub(c, c)	a	a	a	a	a	a	a	a	a
a	a	a	a	add(c, b)	add(b, c)	a	a	a	a	a	a	a	a	a	a	a	a	a	a
c	a	a	a	a	a	a	add(add(b, c), protectedDiv(b, c))	a	a	add(a, c)	add(c, b)	a	a	protectedDiv(b, c)	a	a	a	a	a
a	add(a, b)	a	a	a	a	a	sub(protectedDiv(a, b), sub(a, c))	a	protectedDiv(c, a)	a	a	a	a	a	a	a	a	protectedDiv(add(a, c), add(b, b))	protectedDiv(sub(b, b), sub(b, c))
a	add(a, b)	a	a	a	a	a	a	a	a	a	sub(protectedDiv(c, b), sub(b, b))	a	a	a	a	a	add(b, b)	a	sub(b, a)
sub(b, c)	a	c	a	protectedDiv(add(a, c), add(b, b))	a	sub(protectedDiv(c, b), sub(b, b))	a	sub(c, c)	a	a	add(add(a, c), protectedDiv(b, a))	protectedDiv(add(c, c), sub(a, b))	a	a	a	a	protectedDiv(add(c, b), sub(c, b))	a	a
a	a	a	a	a	a	a	a	a	add(sub(a, c), protectedDiv(c, a))	a	c	protectedDiv(a, b)	a	a	a	protectedDiv(c, a)	a	a	a
a	a	a	a	c	a	a	a	a	a	a	a	a	a	a	c	a	a	a	a
a	a	a	a	a	a	a	a	a	a	sub(a, c)	a	a	a	sub(add(c, a), add(b, a))	a	sub(sub(a, b), sub(c, c))	a	a	a
a	a	a	sub(add(c, b), add(a, a))	a	c	a	a	add(protectedDiv(a, b), protectedDiv(a, b))	a	a	a	a	a	a	a	a	a	b	a
a	add(add(b, b), protectedDiv(c, b))	a	a	a	a	a	a	a	a	protectedDiv(c, b)	a	a	a	a	a	a	protectedDiv(sub(b, b), sub(a, c))	c	a
a	c	a	a	a	a	a	add(b, a)	a	add(b, c)	protectedDiv(sub(b, b), sub(a, c))	a	a	a	a	a	a	a	a	sub(c, b)
a	a	a	a	a	a	a	a	add(add(c, c), add(a, c))	a	a	a	a	a	a	a	a	a	sub(add(b, b), add(c, c))	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	b	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	protectedDiv(add(b, b), protectedDiv(b, b))	protectedDiv(add(b, b), sub(b, a))	a	a	a	a	a	add(c, a)	sub(sub(c, b), sub(c, a))	a	a	protectedDiv(a, c)	protectedDiv(b, c)	a	a	protectedDiv(sub(a, b), protectedDiv(a, c))	a	a
a	b	a	a	a	a	a	a	a	a	a	a	add(sub(c, a), sub(b, c))	add(c, a)	a	a	a	a	protectedDiv(a, c)	a
a	add(a, c)	a	a	a	a	a	a	a	protectedDiv(a, c)	a	a	a	a	a	a	a	c	a	a
a	a	add(a, c)	sub(protectedDiv(b, c), protectedDiv(c, b))	a	a	a	a	a	a	a	sub(b, c)	c	a	sub(b, c)	a	a	a	a	a
a	a	a	protectedDiv(a, a)	sub(b, c)	a	a	a	a	a	a	a	add(a, b)	add(b, a)	a	a	a	add(protectedDiv(a, a), sub(b, b))	a	a
sub(a, c)	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(add(b, b), add(c, b))
a	a	a	a	a	a	a	b	a	a	a	a	sub(add(b, a), protectedDiv(a, a))	a	a	protectedDiv(sub(c, b), add(a, b))	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(b, c)	a	a
sub(sub(c, a), sub(a, a))	add(c, c)	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(c, b)	a	a	a	a	a
a	a	a	a	a	a	sub(a, b)	a	a	a	a	b	a	a	a	a	a	a	a	a
a	a	protectedDiv(add(a, c), protectedDiv(c, c))	c	a	a	a	a	a	protectedDiv(c, b)	a	a	a	a	a	a	protectedDiv(c, a)	add(add(a, b), sub(c, a))	protectedDiv(protectedDiv(b, c), add(c, b))	a
a	c	a	sub(a, c)	a	a	a	a	a	a	a	sub(add(c, b), add(b, c))	a	a	a	add(add(a, b), sub(c, a))	a	a	a	a
a	a	a	add(protectedDiv(a, a), sub(a, a))	a	sub(sub(c, a), protectedDiv(c, a))	a	a	a	a	a	b	a	a	a	a	sub(c, b)	a	a	a
a	a	a	c	a	a	a	a	a	a	a	a	a	add(a, a)	a	a	a	a	a	protectedDiv(sub(c, b), add(b, a))
a	a	a	a	protectedDiv(sub(b, b), add(c, a))	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	sub(c, c)	a	a	a	a	a	a
a	sub(b, a)	a	a	a	a	a	a	a	a	a	a	a	a	sub(sub(c, b), add(a, b))	a	sub(protectedDiv(a, b), add(a, a))	a	a	a
a	a	a	a	a	a	a	a	a	a	a	b	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	c	a	sub(b, b)	a	add(c, a)	a	a	a	add(sub(a, b), add(c, c))	a
protectedDiv(c, c)	protectedDiv(c, a)	protectedDiv(add(c, b), sub(b, c))	a	a	a	a	b	a	a	a	a	a	sub(a, b)	a	a	a	a	a	a
a	a	a	a	a	a	a	a	a	a	a	a	a	a	c	a	protectedDiv(protectedDiv(c, b), sub(b, a))	c	sub(sub(a, b), sub(b, c))	a
a	a	a	a	a	a	a	a	a	a	a	a	a	protectedDiv(a, a)	a	add(b, a)	a	a	a	add(add(a, a), protectedDiv(c, b))
protectedDiv(a, c)	a	a	a	a	a	a	a	a	a	a	a	add(add(a, b), protectedDiv(b, b))	sub(protectedDiv(c, c), protectedDiv(a, a))	sub(c, a)	a	a	add(c, c)	a	a
a	a	a	a	a	a	protectedDiv(a, c)	a	a	protectedDiv(a, c)	a	protectedDiv(a, c)	a	protectedDiv(a, c)	a	a	a	protectedDiv(a, c)	add(add(a, b), protectedDiv(b, b))	a
a	a	a	a	a	a	a	a	a	a	protectedDiv(a, c)	a	a	protectedDiv(a, c)	a	sub(c, a)	protectedDiv(sub(c, c), sub(b, b))	a	protectedDiv(a, c)	a
sub(protectedDiv(a, b), protectedDiv(b, b))	a	add(a, a)	a	a	b	protectedDiv(c, b)	a	a	a	add(add(c, b), add(c, c))	a	a	a	a	add(b, a)	a	a	a	protectedDiv(a, c)
add(sub(a, c), add(b, a))	add(add(c, b), add(c, c))	a	a	a	a	a	a	a	a	a	a	a	a	a	a	sub(c, b)	sub(protectedDiv(c, c), protectedDiv(b, c))	a	a
add(c, a)	a	a	a	a	a	a	a	add(add(b, b), sub(c, c))	sub(sub(c, b), add(a, b))	sub(protectedDiv(b, c), add(c, c))	a	sub(add(a, a), add(c, b))	a	a	a	a	protectedDiv(c, c)	a	a
a	a	c	a	a	b	a	a	a	protectedDiv(protectedDiv(a, b), add(a, b))	a	a	a	a	a	a	a	a	c	a
a	a	a	sub(b, b)	a	a	a	a	a	b	a	sub(protectedDiv(b, b), protectedDiv(a, c))	a	a	protectedDiv(add(a, a), add(b, c))	add(b, b)	a	a	a	a
a	a	sub(sub(c, b), sub(c, a))	a	protectedDiv(b, b)	a	a	a	a	a	a	sub(protectedDiv(a, c), add(c, b))	a	a	a	add(add(c, a), protectedDiv(b, a))	a	a	a	add(sub(b, c), sub(b, a))
a	a	protectedDiv(c, c)	a	sub(sub(c, c), add(b, b))	a	protectedDiv(a, c)	a	a	a	a	a	a	a	a	a	a	a	a	a
a	a	a	a	a	a	a	a	protectedDiv(b, b)	a	a	a	a	a	a	protectedDiv(protectedDiv(a, b), protectedDiv(c, a))	a	a	a	a
a	a	add(add(c, b), protectedDiv(a, b))	a	a	a	a	add(protectedDiv(a, a), sub(c, a))	a	a	a	add(add(c, b), protectedDiv(a, a))	a	a	a	a	a	add(b, c)	add(protectedDiv(c, c), add(c, a))	a
protectedDiv(protectedDiv(b, c), sub(b, b))	a	a	a	a	a	sub(add(b, c), protectedDiv(b, b))	a	protectedDiv(protectedDiv(c, c), add(c, b))	a	sub(protectedDiv(a, c), sub(c, a))	add(protectedDiv(a, c), sub(b, b))	a	a	a	a	a	a	a	a
a	a	a	sub(c, b)	a	a	add(sub(a, c), add(b, c))	a	a	a	protectedDiv(add(c, a), sub(c, c))	sub(add(b, c), protectedDiv(b, b))	a	a	a	a	a	a	a	protectedDiv(add(c, a), protectedDiv(b, a))
